count,period,atime,name.1,zeros,w.1.1,link.1.2,name.2,p.1.2,w.2.1,link.2.3,name.3,p.2.3,w.3
1,5.0,8.11,10.31.40.1,0,0,default,10.31.40.2,320,0,,,,
1,5.0,8.11,10.31.40.1,0,0,default,10.31.40.3,320,0,,,,
1,5.0,0.11,10.31.40.2,0,0,default,10.31.40.1,320,0,,,,
1,5.0,0.11,10.31.40.2,0,0,default,10.31.40.3,320,0,,,,
1,5.0,0.11,10.31.40.3,0,0,default,10.31.40.1,320,0,,,,
1,5.0,0.11,10.31.40.3,0,0,default,10.31.40.2,320,0,,,,
1,5.0,0.11,10.31.40.4,0,0,default,10.31.40.2,320,0,,,,
1,5.0,0.11,10.31.40.4,0,0,default,10.31.40.3,320,0,,,,
2,5.0,0.11,10.31.40.5,0,0,default,10.31.40.2,320,0,,,,
2,5.0,0.11,10.31.40.5,0,0,default,10.31.40.3,320,0,,,,
2,5.0,0.11,10.31.40.6,0,0,default,10.31.40.2,3200,0,,,,
2,5.0,8.11,10.31.40.7,0,0,default,10.31.40.2,220,0,,,,
4,2.0,8.11,10.31.40.7,0,0,default,10.31.40.3,320,0,,,,
2,5.0,16.11,10.31.40.8,0,0,default,10.31.40.7,500,0,,,,
